"","mom","embryo","Treatment","Elevation","Estimate","Std. Error","t value","Pr(>|t|)","coll_date","coll_date_numeric","Treatment_numeric","Elevation_numeric","Mom_numeric"
"87","Higher zone WINTER 4",11,"Heat Shock","Higher",0.0166744287254972,0.000943243365105693,-17.6777588291106,0.000394646824139197,"Winter",1,1,1,8
"88","Higher zone WINTER 5",1,"Control","Higher",0.0134300798106509,0.000138943107014195,-96.6588418760409,0.0065860199481814,"Winter",1,0,1,9
"89","Higher zone WINTER 5",2,"Control","Higher",0.0137826515857988,0.00126660508534736,-10.8815697530687,0.058340538887412,"Winter",1,0,1,9
"90","Higher zone WINTER 5",3,"Control","Higher",0.0040548384704142,0.00354255148972877,-1.14460960755849,0.457138031580838,"Winter",1,0,1,9
"91","Higher zone WINTER 5",4,"Control","Higher",0.0139107759053255,0.00156230189583941,-8.90402549108559,0.0711996200733417,"Winter",1,0,1,9
"92","Higher zone WINTER 5",5,"Control","Higher",0.0115503043816568,0.000859573037956048,-13.4372576519174,0.0472900355903306,"Winter",1,0,1,9
"93","Higher zone WINTER 5",6,"Control","Higher",0.0286174452857143,NA,NA,NA,"Winter",1,0,1,9
"94","Higher zone WINTER 5",7,"Control","Higher",0.00918925489349113,0.000960054281105887,-9.57159930884952,0.0662709052685892,"Winter",1,0,1,9
"95","Higher zone WINTER 5",8,"Control","Higher",0.0118506141717994,0.00127001556779666,-9.33107787990261,0.0112909922205245,"Winter",1,0,1,9
"96","Higher zone WINTER 5",9,"Control","Higher",0.0101086285621302,0.000359754629099243,-28.0986754428714,0.0226470177848757,"Winter",1,0,1,9
"97","Higher zone WINTER 5",10,"Control","Higher",0.0116361600384615,0.00411546630134622,-2.82742201889861,0.216418015098303,"Winter",1,0,1,9
"98","Higher zone WINTER 5",11,"Control","Higher",0.0118456761420118,0.00173968373000377,-6.80909750301923,0.0928318500530505,"Winter",1,0,1,9
"99","Higher zone WINTER 5",12,"Control","Higher",0.0132789990473373,0.000327202947916397,-40.5833722828505,0.0156835408186766,"Winter",1,0,1,9
"100","Higher zone WINTER 5",1,"Heat Shock","Higher",0.0172373079193548,0.00615010602827229,-2.80276597510908,0.218176803293274,"Winter",1,1,1,9
"101","Higher zone WINTER 5",2,"Heat Shock","Higher",0.0179742839562212,0.00308345009821921,-5.82927674639584,0.108157983266567,"Winter",1,1,1,9
